,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
4570,4571,2016-05-18 00:00:00,21 Uptown - Lake St - Selby  Av [EB],University Ave & Snelling Ave,44.955567,-93.166508,84 Rosedale - Snelling - 46th St LRT - Sibley Plaza [ Minneapolis Metro Transit ],45.012,-93.172,After 9:00 pm,84,-0.0564329999999984,0.005492000000003827
4595,4596,2016-05-18 00:00:00,477 Lakeville/Apple Valley-Mpls [SB],Marquette Av S at 7 St S SW corner,44.976021,-93.271232,12 Uptown - Excelsior Blvd - Hopkins - Opus [ Minneapolis Metro Transit ],44.924,-93.416,3:00 - 4:00 pm,12,0.052021000000003426,0.14476799999999912
4602,4603,2016-05-19 00:00:00,477 Lakeville/Apple Valley-Mpls [SB],Marquette Av S at 5 St S SW corner,44.977905,-93.269577,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.981,-93.277,5:00 - 6:00 pm,BLUE,-0.0030950000000018463,0.007423000000002844
4608,4609,2016-05-19 00:00:00,477 Lakeville/Apple Valley-Mpls [SB],Marquette Av S at 3 St S SW corner,44.979897,-93.267998,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.897,-93.216,4:00 - 5:00 pm,BLUE,0.08289700000000266,-0.05199800000001176
4611,4612,2016-05-19 00:00:00,71 Little Canada - Edgerton - Concord - Inver Hills [NB],Jackson St & 14th St,44.955244,-93.096097,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.979,-93.236,6:00 - 7:00 am,GREEN,-0.023755999999998778,0.13990300000000389
4612,4613,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],5th St Transit Center & Platform B,44.981041,-93.275321,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.947,-93.085,6:00 - 7:00 am,GREEN,0.03404099999999488,-0.1903210000000115
4616,4617,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,364 Express - Newport - Cottage Grove - St Paul [ Minneapolis Metro Transit ],44.836,-92.984,6:00 - 7:00 am,364,0.11174400000000162,-0.10725100000000509
4627,4628,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],7th St S & Park Ave S,44.972862,-93.262526,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.941,-93.229,6:00 - 7:00 am,BLUE,0.031861999999996726,-0.03352599999999484
4628,4629,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 10th St E,44.95139,-93.094773,62 Rice St - Little Canada - Shoreview - Signal Hills [ Minneapolis Metro Transit ],44.972,-93.108,7:00 - 8:00 am,62,-0.020609999999997797,0.013227000000000544
4629,4630,2016-05-19 00:00:00,71 Little Canada - Edgerton - Concord - Inver Hills [SB],Marketplace Dr & Little Canada Transit Center,45.027913,-93.103539,62 Rice St - Little Canada - Shoreview - Signal Hills [ Minneapolis Metro Transit ],45.015,-93.106,7:00 - 8:00 am,62,0.01291299999999751,0.002460999999996716
4639,4640,2016-05-19 00:00:00,17 Minnetonka Blvd - Uptown - Washington St NE [WB],Hennepin Ave & 3rd St / 4th St N,44.980827,-93.270956,781 Maple Grove - Express - Maple Grove Station [ Minneapolis Metro Transit ],45.106,-93.442,7:00 - 8:00 am,781,-0.12517300000000375,0.17104399999999487
4641,4642,2016-05-19 00:00:00,17 Minnetonka Blvd - Uptown - Washington St NE [WB],Hennepin Ave & 5th St / 6th St N,44.979387,-93.272978,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.972,-93.262,7:00 - 8:00 am,BLUE,0.007387000000001365,-0.010977999999994381
4647,4648,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [EB],Southdale Transit Center & Gate B,44.881954,-93.322318,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.867,-93.335,7:00 - 8:00 am,6,0.01495400000000302,0.012681999999998084
4652,4653,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [WB],MOA Transit Station & MOA Layover Node,44.854139,-93.238602,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.932,-93.116,7:00 - 8:00 am,54,-0.07786099999999863,-0.12260200000000054
4655,4656,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Hennepin Ave & 4th St S,44.980623,-93.271051,852 Express - Anoka - Coon Rapids - Northtown - Mpls [ Minneapolis Metro Transit ],45.187,-93.276,7:00 - 8:00 am,852,-0.20637699999999626,0.0049489999999963175
4665,4666,2016-05-19 00:00:00,71 Little Canada - Edgerton - Concord - Inver Hills [NB],Robert St & 6th St,44.94818,-93.091483,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.882,-93.206,8:00 - 9:00 am,54,0.06618000000000279,0.11451700000000642
4666,4667,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,4 New Brighton - Johnson St - Bryant Av - Southtown [ Minneapolis Metro Transit ],44.973,-93.291,3:00 - 4:00 pm,4,0.010320000000000107,0.013986000000002718
4669,4670,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.977,-93.27,3:00 - 4:00 pm,BLUE,0.006320000000002324,-0.007013999999998077
4671,4672,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.854,-93.242,3:00 - 4:00 pm,BLUE,0.12931999999999988,-0.035013999999989665
4672,4673,2016-05-19 00:00:00,71 Little Canada - Edgerton - Concord - Inver Hills [NB],Jackson St & 14th St,44.955244,-93.096097,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.976,-93.258,8:00 - 9:00 am,GREEN,-0.020755999999998664,0.16190299999999525
4674,4675,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [WB],MOA Transit Station & Gate C,44.854162,-93.239289,RED METRO Red Line [ Minnesota Valley Transit ],44.768,-93.219,8:00 - 9:00 am,RED,0.08616200000000163,-0.02028900000000533
4676,4677,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.854,-93.242,3:00 - 4:00 pm,BLUE,0.12931999999999988,-0.035013999999989665
4678,4679,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.978,-93.264,3:00 - 4:00 pm,GREEN,0.005319999999997549,-0.013013999999998305
4680,4681,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],6th St S & Nicollet Mall,44.977851,-93.271595,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],45.022,-93.243,8:00 - 9:00 am,10,-0.04414899999999733,-0.028595000000009918
4683,4684,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],Franklin Ave E & 13th Ave S,44.962668,-93.256926,2 Franklin Av - Riverside Av - U of M - 8th St SE [ Minneapolis Metro Transit ],44.959,-93.282,8:00 - 9:00 am,2,0.003667999999997562,0.025073999999989383
4687,4688,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [WB],MOA Transit Station & MOA Layover Node,44.854139,-93.238602,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.975,-93.266,8:00 - 9:00 am,BLUE,-0.12086099999999789,0.02739800000000514
4689,4690,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Rice St & Larpenteur Ave,44.991814,-93.105805,61 E Hennepin Av - Larpenteur Av - Arcade St [ Minneapolis Metro Transit ],44.984,-93.069,7:00 - 8:00 pm,61,0.007813999999996213,-0.03680500000000109
4690,4691,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 2nd Ave / 3rd Ave S,44.976266,-93.267811,663 Express - Cedar Lake Rd - Mpls [ Minneapolis Metro Transit ],44.991,-93.39,8:00 - 9:00 am,663,-0.014733999999997138,0.12218900000000588
4696,4697,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.73,-93.473,8:00 - 9:00 pm,GREEN,0.21774400000000327,0.38174899999999923
4701,4702,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.963,-93.058,8:00 - 9:00 pm,74,-0.015256000000000824,-0.033250999999992814
4723,4724,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St & Hennepin Ave,44.978847,-93.273873,663 Express - Cedar Lake Rd - Mpls [ Minneapolis Metro Transit ],44.953,-93.413,9:00 - 10:00 am,663,0.025846999999998843,0.139127000000002
4725,4726,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Cedar St,44.947196,-93.093916,71 Little Canada - Edgerton - Concord - Inver Hills [ Minneapolis Metro Transit ],44.966,-93.079,9:00 - 10:00 am,71,-0.01880400000000293,-0.014915999999999485
4729,4730,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [WB],MOA Transit Station & Gate C,44.854162,-93.239289,444 Savage-Burnsville-Mall of America [ Minnesota Valley Transit ],44.773,-93.27,9:00 - 10:00 am,444,0.08116199999999907,0.030710999999996602
4730,4731,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Cedar St,44.947196,-93.093916,62 Rice St - Little Canada - Shoreview - Signal Hills [ Minneapolis Metro Transit ],44.987,-93.107,9:00 - 10:00 am,62,-0.039804000000003725,0.013084000000006313
4737,4738,2016-05-19 00:00:00,444 Savage-Burnsville-Mall of America [SB],Nicols Rd at Diffley Rd NE corner,44.805016,-93.21785,440 Apple Valley-Cedar Grove-VA Hospital [ Minnesota Valley Transit ],44.79,-93.227,10:00 - 11:00 am,440,0.015016000000002805,0.00915000000000532
4740,4741,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Jackson St & 14th St,44.955299,-93.096553,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.956,-93.114,10:00 - 11:00 am,GREEN,-0.000701000000006502,0.01744700000000421
4746,4747,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Washington Ave N & 2nd Ave N,44.98371,-93.271166,535 Ltd Stop - South Bloomington - Richfield - Mpls [ Minneapolis Metro Transit ],44.859,-93.311,10:00 - 11:00 am,535,0.12471000000000032,0.03983400000001325
4748,4749,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [EB],66th St W & Lyndale Ave S,44.883325,-93.286649,4 New Brighton - Johnson St - Bryant Av - Southtown [ Minneapolis Metro Transit ],44.901,-93.291,10:00 - 11:00 am,4,-0.017675000000004104,0.004350999999999772
4750,4751,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 5th Ave S,44.974969,-93.264758,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],45.071,-93.262,10:00 - 11:00 am,10,-0.09603099999999642,-0.002758000000000038
4754,4755,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],Robbinsdale Transit Center & Gate B,45.030078,-93.339729,717 Brooklyn Center - Robbinsdale-Plymouth [ Minneapolis Metro Transit ],45.032,-93.372,10:00 - 11:00 am,717,-0.001921999999993318,0.03227099999999439
4756,4757,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],Fillmore Ave E & Robert St,44.941411,-93.084936,71 Little Canada - Edgerton - Concord - Inver Hills [ Minneapolis Metro Transit ],44.913,-93.058,10:00 - 11:00 am,71,0.028411000000005515,-0.026935999999992077
4759,4760,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Jackson / Robert,44.948576,-93.091016,63 Grand Av - Raymond Sta - Sunray - McKnight Rd [ Minneapolis Metro Transit ],44.96,-93.063,10:00 - 11:00 am,63,-0.011423999999998102,-0.028015999999993824
4760,4761,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [WB],Veterans Dr & VA Medical Center Station,44.902215,-93.202603,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.898,-93.218,10:00 - 11:00 am,22,0.004214999999994973,0.01539700000000721
4761,4762,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],Robbinsdale Transit Center & Gate B,45.030078,-93.339729,716 Zane Av - 63rd Av - Crystal - Robbinsdale [ Minneapolis Metro Transit ],45.062,-93.373,10:00 - 11:00 am,716,-0.031921999999994455,0.03327099999999916
4766,4767,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 11th Ave S,44.971501,-93.256575,724 Ltd Stop - Target Campus - Starlite - Brooklyn Ctr [ Minneapolis Metro Transit ],45.0,-93.287,11:00 - 12:00 pm,724,-0.0284989999999965,0.03042500000000814
4771,4772,2016-05-19 00:00:00,17 Minnetonka Blvd - Uptown - Washington St NE [EB],Hennepin Ave & 26th St W,44.955437,-93.296773,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.874,-93.32,11:00 - 12:00 pm,6,0.08143700000000109,0.02322699999999145
4778,4779,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],Broadway St & 4th St / 5th St,44.949867,-93.084724,63 Grand Av - Raymond Sta - Sunray - McKnight Rd [ Minneapolis Metro Transit ],44.956,-93.061,11:00 - 12:00 pm,63,-0.006133000000005495,-0.0237239999999872
4786,4787,2016-05-19 00:00:00,71 Little Canada - Edgerton - Concord - Inver Hills [NB],Robert St & 6th St,44.94818,-93.091483,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.901,-93.17,11:00 - 12:00 pm,54,0.047179999999997335,0.07851700000000505
4792,4793,2016-05-19 00:00:00,783 Maple Grove - Express - Crosswinds Church P&R [SB],Crosswinds P&R & Weaver Lake Rd,45.102121,-93.470238,788 Maple Grove - Bass Lake Rd - Crosswinds Church P&R [ Minneapolis Metro Transit ],45.097,-93.466,6:00 - 7:00 am,788,0.00512099999999549,-0.004238000000000852
4794,4795,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],5th St Transit Center & Platform B,44.981041,-93.275321,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],44.993,-93.311,11:00 - 12:00 pm,19,-0.011959000000004494,0.03567900000000179
4797,4798,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 2nd Ave / 3rd Ave S,44.976266,-93.267811,14 Robbinsdale-West Broadway-Bloomington Av [ Minneapolis Metro Transit ],44.962,-93.256,11:00 - 12:00 pm,14,0.014265999999999224,-0.011810999999994465
4800,4801,2016-05-19 00:00:00,17 Minnetonka Blvd - Uptown - Washington St NE [WB],Hennepin Ave & 3rd St / 4th St N,44.980827,-93.270956,11 Columbia Heights - 2nd St NE - 4th Av S [ Minneapolis Metro Transit ],45.01,-93.264,11:00 - 12:00 pm,11,-0.029173000000000116,-0.006956000000002405
4808,4809,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.972,-93.02,12:00 pm - 1:00 pm,74,-0.024256000000001166,-0.07125100000000373
4809,4810,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [NB],Robert St & 5th St,44.947371,-93.09069,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.957,-93.111,12:00 pm - 1:00 pm,GREEN,-0.009629000000003884,0.020310000000009154
4810,4811,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Bloomington Ave S & Lake St E,44.948275,-93.252434,21 Uptown - Lake St - Selby  Av [ Minneapolis Metro Transit ],44.949,-93.097,12:00 pm - 1:00 pm,21,-0.0007249999999956458,-0.15543399999999963
4813,4814,2016-05-19 00:00:00,17 Minnetonka Blvd - Uptown - Washington St NE [WB],Hennepin Ave & 5th St / 6th St N,44.979387,-93.272978,675 Express - Mound - Wayzata - Ridgedale - Mpls [ Minneapolis Metro Transit ],44.985,-93.387,11:00 - 12:00 pm,675,-0.0056129999999967595,0.11402200000000562
4816,4817,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,21 Uptown - Lake St - Selby  Av [ Minneapolis Metro Transit ],44.95,-93.134,12:00 pm - 1:00 pm,21,-0.0022560000000027003,0.04274900000000059
4819,4820,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],Broadway St & 4th St / 5th St,44.949867,-93.084724,70 St Clair Av - W 7St - Burns Av - Sunray [ Minneapolis Metro Transit ],44.937,-93.194,12:00 pm - 1:00 pm,70,0.012866999999999962,0.10927600000000837
4832,4833,2016-05-19 00:00:00,783 Maple Grove - Express - Crosswinds Church P&R [NB],2nd Ave S & 6th St - Stop Group H,44.976601,-93.268705,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.973,-93.227,4:00 - 5:00 pm,GREEN,0.003601000000003296,-0.04170499999999322
4834,4835,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Cedar St,44.947196,-93.093916,70 St Clair Av - W 7St - Burns Av - Sunray [ Minneapolis Metro Transit ],44.951,-93.055,12:00 pm - 1:00 pm,70,-0.003804000000002361,-0.038915999999986184
4841,4842,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Jackson / Robert,44.948576,-93.091016,68 Jackson St - Robert St - 5th Av - Inver Hills [ Minneapolis Metro Transit ],44.924,-93.075,12:00 pm - 1:00 pm,68,0.024576000000003262,-0.01601599999999337
4844,4845,2016-05-19 00:00:00,444 Savage-Burnsville-Mall of America [SB],Mall of America Transit Station dep Gate D,44.85399,-93.239154,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.929,-93.232,6:30 - 7:00 pm,BLUE,-0.07500999999999891,-0.007153999999999883
4860,4861,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.956,-93.172,3:00 - 4:00 pm,GREEN,0.027319999999996014,-0.10501399999999705
4869,4870,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.978,-93.265,3:00 - 4:00 pm,BLUE,0.005319999999997549,-0.01201399999999353
4871,4872,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.883,-93.211,3:00 - 4:00 pm,BLUE,0.10031999999999641,-0.06601399999999558
4876,4877,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [WB],MOA Transit Station & Gate C,44.854162,-93.239289,515 Southdale - 66th St - Bloomington Av - VA - MOA [ Minneapolis Metro Transit ],44.87,-93.249,2:00 - 3:00 pm,515,-0.015837999999995134,0.009710999999995806
4886,4887,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Jackson / Robert,44.948576,-93.091016,68 Jackson St - Robert St - 5th Av - Inver Hills [ Minneapolis Metro Transit ],44.892,-93.038,3:00 - 4:00 pm,68,0.05657599999999974,-0.05301599999999951
4887,4888,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [EB],Southdale Transit Center & Gate B,44.881954,-93.322318,515 Southdale - 66th St - Bloomington Av - VA - MOA [ Minneapolis Metro Transit ],44.884,-93.286,2:00 - 3:00 pm,515,-0.0020459999999999923,-0.0363179999999943
4891,4892,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 2nd Ave / 3rd Ave S,44.976266,-93.267811,17 Minnetonka Blvd - Uptown - Washington St NE [ Minneapolis Metro Transit ],44.96,-93.278,2:00 - 3:00 pm,17,0.016266000000001668,0.010189000000011106
4893,4894,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.855,-93.226,3:00 - 4:00 pm,BLUE,0.1283200000000022,-0.05101399999999501
4898,4899,2016-05-19 00:00:00,444 Savage-Burnsville-Mall of America [SB],Mall of America Transit Station dep Gate D,44.85399,-93.239154,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.986,-93.254,8:00 - 9:00 am,BLUE,-0.13200999999999397,0.014846000000005688
4900,4901,2016-05-19 00:00:00,888 Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls [NB],Target Field Station & Rail Platform,44.98332,-93.277014,94 Express - Mpls - St Paul [ Minneapolis Metro Transit ],44.953,-93.098,3:00 - 4:00 pm,94,0.030319999999996128,-0.17901399999999512
4904,4905,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [WB],MOA Transit Station & MOA Layover Node,44.854139,-93.238602,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.948,-93.241,3:00 - 4:00 pm,BLUE,-0.09386099999999686,0.002397999999999456
4915,4916,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [WB],66th St W & Nicollet Ave S,44.883496,-93.278429,18 Nicollet Av - South Bloomington [ Minneapolis Metro Transit ],44.938,-93.27,3:00 - 4:00 pm,18,-0.05450400000000144,-0.008429000000006681
4918,4919,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [WB],MOA Transit Station & Gate C,44.854162,-93.239289,539 Norm Coll - France Av - 98St - MOA [ Minneapolis Metro Transit ],44.826,-93.288,3:00 - 4:00 pm,539,0.028162000000001797,0.048710999999997284
4923,4924,2016-05-19 00:00:00,94 Express - Mpls - St Paul [WB],6th St & Cedar St,44.947196,-93.093916,63 Grand Av - Raymond Sta - Sunray - McKnight Rd [ Minneapolis Metro Transit ],44.955,-93.07,3:00 - 4:00 pm,63,-0.007804000000000144,-0.023915999999999826
4927,4928,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Bloomington Ave S & 35th St E,44.939457,-93.252372,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],44.861,-93.275,4:00 - 5:00 pm,5,0.07845700000000022,0.02262800000001164
4928,4929,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],6th St S & 5th Ave S,44.974969,-93.264758,14 Robbinsdale-West Broadway-Bloomington Av [ Minneapolis Metro Transit ],44.977,-93.274,3:00 - 4:00 pm,14,-0.002030999999995231,0.009242000000000417
4930,4931,2016-05-19 00:00:00,94 Express - Mpls - St Paul [EB],5th St Transit Center & Platform B,44.981041,-93.275321,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.992,-93.291,4:00 - 5:00 pm,22,-0.010958999999999719,0.01567899999999156
4934,4935,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],6th St & Hennepin Ave,44.978847,-93.273873,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],44.962,-93.262,4:00 - 5:00 pm,5,0.016846999999998502,-0.01187299999999425
4935,4936,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Bloomington Ave S & Lake St E,44.948275,-93.252434,21 Uptown - Lake St - Selby  Av [ Minneapolis Metro Transit ],44.948,-93.291,4:00 - 5:00 pm,21,0.0002750000000020236,0.03856600000000299
4936,4937,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [SB],West Broadway & Lyndale Ave N,44.999086,-93.288115,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],44.948,-93.262,4:00 - 5:00 pm,5,0.051085999999997966,-0.02611500000000433
4938,4939,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Robert St & 6th St / 5th St,44.947744,-93.091251,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.947,-93.085,4:00 - 5:00 pm,74,0.0007439999999974134,-0.006251000000006002
4940,4941,2016-05-19 00:00:00,538 Southdale - York Av - Southtown - 86th St - MOA [EB],Southdale Transit Center & Gate B,44.881954,-93.322318,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.962,-93.265,4:00 - 5:00 pm,6,-0.08004600000000295,-0.057317999999995095
4944,4945,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],7th St S & Park Ave S,44.972862,-93.262526,3 U of M - Como Av - Energy Park Dr - Maryland Av [ Minneapolis Metro Transit ],44.976,-93.13,4:00 - 5:00 pm,3,-0.003137999999999863,-0.1325259999999986
4948,4949,2016-05-19 00:00:00,68 Jackson St - Robert St - 5th Av - Inver Hills [SB],Marie Ave & Robert St S,44.890782,-93.080418,75 Stryker - Robert - Parkview Plaza - Lake Cove Apts [ Minneapolis Metro Transit ],44.91,-93.084,4:00 - 5:00 pm,75,-0.019217999999995072,0.003582000000008634
4952,4953,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Hennepin Ave & 4th St S,44.980623,-93.271051,649 Express - Louisiana Av - Cedar Lake Rd- Mpls [ Minneapolis Metro Transit ],44.968,-93.354,5:00 - 6:00 pm,649,0.01262299999999783,0.08294899999999927
4957,4958,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],Hennepin Ave & 4th St S,44.980623,-93.271051,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.987,-93.22,4:00 - 5:00 pm,GREEN,-0.006377000000000521,-0.05105100000000107
4961,4962,2016-05-19 00:00:00,515 Southdale - 66th St - Bloomington Av - VA - MOA [EB],Southdale Transit Center & Gate B,44.881954,-93.322318,684 SW Transit - Express - Eden Prairie - Southdale [ Minneapolis Metro Transit ],44.86,-93.481,5:00 - 6:00 pm,684,0.021954000000000917,0.15868199999999888
4962,4963,2016-05-19 00:00:00,444 Savage-Burnsville-Mall of America [NB],Nicollet Av at Travelers Trl E NE corner,44.775353,-93.27755,426 Burnsville Shuttle [ Minnesota Valley Transit ],44.736,-93.261,7:00 - 8:00 am,426,0.03935300000000552,-0.01655000000000939
4967,4968,2016-05-19 00:00:00,14 Robbinsdale-West Broadway-Bloomington Av [NB],38th St Station & Gate A,44.935037,-93.22987,BLUE METRO Blue Line [ Minneapolis Metro Transit ],44.861,-93.231,4:00 - 5:00 pm,BLUE,0.07403700000000413,0.0011299999999891952
